Name,Value,Dirn,Parameters,Description
MSP_API_VERSION,1,O,"Uint8: MSP_Protocol Version
Uint8: API Version Major
Uint8: API Version Minor","Get API version information
Protocol version is always 0, even when illogical"
MSP_FC_VARIANT,2,O,uint8[4] : Flight Controller ID,"Get FC firmware variant
e.g. “INAV”"
MSP_FC_VERSION,3,O,"uint8: FC Version Major
Uint8: FC Version Minor
Uint8: FC Version Patch Level",Get FC firmware version
MSP_BOARD_INFO,4,O,"Uint8[4]: Board Identifier
uint16: Hardware Revision Number","Get board identification
e.g. “MKF4”"
MSP_BUILD_INFO,5,O,"Uint8[11] : buildDate
Uint8[8] : buildTime
Uint8[8] : GitRevision",Get firmware build information
MSP_INAV_PID,6,O,"uint8: aysnc mode
Uint16 : Acc Task Frequency
Uint16: attitude Task Frequency
Uint8 : Heading Hold Rate Limit
Uint8:  Heading Hold Error LPF freq
Uint16: Yaw jump prevention limit
Uint8: Gyro LPF
Uint8:  Acc soft LPF hz
Uint8[4]: reserved (set to 0) ",Get miscellaneous PID settings
MSP_SET_INAV_PID,7,I,"uint8: aysnc mode
Uint16 : Acc Task Frequency
Uint16: attitude Task Frequency
Uint8 : Heading Hold Rate Limit
Uint8:  Unused (aka Heading Hold Error LPF freq)
Uint16: Yaw jump prevention limit
Uint8: Gyro LPF
Uint8:  Acc soft LPF hz
Uint8[4]: reserved (set to 0) ",Set miscellaneous PID settings
MSP_NAME,10,O,"(not implemented, CLI only)",Get baord ‘friendly’ name
MSP_SET_NAME,11,I,"(not implemented, CLI only)",Set baord ‘friendly’ name
MSP_NAV_POSHOLD,12,,"Uint8 : User_control_mode 
Uint16 : max_auto_speed
Uint16 : Auto climb rate
Uint16 : Max_manual_speed
Uint16 : Max manual climb rate
Uint8: Multirotot  max bank angle
Uint8:  Use mid-throttle for althold
Uint8: Multirotor hover throttle","Get MR related NAV/POSHOLD information
Speeds and rates in cm/s"
MSP_SET_NAV_POSHOLD,13,,"Uint8 : User_control_mode 
Uint16 : max_auto_speed
Uint16 : Auto climb rate
Uint16 : Max_manual_speed
Uint16 : Max manual climb rate
Uint8: Multirotot  max bank angle
Uint8:  Use mid-throttle for althold
Uint8: Multirotor hover throttle","Set MR related NAV/POSHOLD information
Speeds and rates in cm/s"
MSP_CALIBRATION_DATA,14,,"Uint16 : accZero.raw[X]
Uint16 : accZero.raw[Y]
Uint16 : accZero.raw[Z]
Unit16 : accGain.raw[X]
Unit16 : accGain.raw[Y]
Unit16 : accGain.raw[Z]
",Read Accelerometer calibration data
MSP_SET_CALIBRATION_DATA,15,,"Uint16 : accZero.raw[X]
Uint16 : accZero.raw[Y]
Uint16 : accZero.raw[Z]
Unit16 : accGain.raw[X]
Unit16 : accGain.raw[Y]
Unit16 : accGain.raw[Z]",Write  Accelerometer calibration data
MSP_POSITION_ESTIMATION_CONFIG,16,,"Uint16 : inav_w_z_baro_p float as value * 100
Uint16 : inav_w_z_gps_p  float as value * 100
Uint16 : inav_w_z_gps_v  float as value * 100
Uint16 : inav_w_xy_gps_p float as value * 100
Uint16:  inav_w_xy_gps_v float as value * 100
Uint8 :  gpsMinSats
Uint8 : inav_use_gps_velned ON/OFF
",Get position estimator settings
MSP_SET_POSITION_ESTIMATION_CONFIG,17,,"Uint16 : inav_w_z_baro_p float as value * 100
Uint16 : inav_w_z_gps_p  float as value * 100
Uint16 : inav_w_z_gps_v  float as value * 100
Uint16 : inav_w_xy_gps_p float as value * 100
Uint16:  inav_w_xy_gps_v float as value * 100
Uint8 :  gpsMinSats
Uint8 : inav_use_gps_velned ON/OFF
",Set position estimator settings
MSP_WP_MISSION_LOAD,18,,Uint8 : mission ID (reserved),Load mission from NVRAM
MSP_WP_MISSION_SAVE,19,,Uint8 : mission ID (reserved),Save mission to NVRAM
MSP_WP_GETINFO,20,,"Uint8 : unused              // Reserved for waypoint capabilities
Uint8 : NAV_MAX_WAYPOINTS  // Maximum number of waypoints supported
Uint8 : IsValid  // Is current mission valid
Uint8 : waypoint_count   // Number of waypoints in current mission",Get information about mission ** in RAM **
MSP_RTH_AND_LAND_CONFIG,21,,"Uint16 : min_rth_distance
Uint8 :  rth_climb_first
Uint8 : rth_climb_ignore_emerg
uint8 :  rth_tail_first
uint8 : rth_allow_landing
uint8 : rth_alt_control_mode
uint16 : rth_abort_threshold
uint16 : rth_altitude
uint16 : land_descent_rate
uint16 : land_slowdown_minalt
uint16 : land_slowdown_maxalt
uint16 : emerg_descent_rate",Get RTH settings
MSP_SET_RTH_AND_LAND_CONFIG,22,,"Uint16 : min_rth_distance
Uint8 :  rth_climb_first
Uint8 : rth_climb_ignore_emerg
uint8 :  rth_tail_first
uint8 : rth_allow_landing
uint8 : rth_alt_control_mode
uint16 : rth_abort_threshold
uint16 : rth_altitude
uint16 : land_descent_rate
uint16 : land_slowdown_minalt
uint16 : land_slowdown_maxalt
uint16 : emerg_descent_rate
",Set RTH settings
MSP_FW_CONFIG,23,,"uint16 : cruise_throttle
uint16 : min_throttle
uint16 : max_throttle
uint8 : max_bank_angle
uint8 : max_climb_angle
uint8 : max_dive_angle
uint8 : pitch_to_throttle
uint16 : loiter_radius
",Get FW settings
MSP_SET_FW_CONFIG,24,,"uint16 : cruise_throttle
uint16 : min_throttle
uint16 : max_throttle
uint8 : max_bank_angle
uint8 : max_climb_angle
uint8 : max_dive_angle
uint8 : pitch_to_throttle
uint16 : loiter_radius",Set FW settings
MSP_MODE_RANGES,34,O,,//out message         Returns all mode ranges
MSP_SET_MODE_RANGE,35,I,,//in message          Sets a single mode range
MSP_FEATURE,36,,,
MSP_SET_FEATURE,37,,,
MSP_BOARD_ALIGNMENT,38,,,
MSP_SET_BOARD_ALIGNMENT,39,,,
MSP_CURRENT_METER_CONFIG,40,,,
MSP_SET_CURRENT_METER_CONFIG,41,,,
MSP_MIXER,42,,,
MSP_SET_MIXER,43,,,
MSP_RX_CONFIG,44,,,
MSP_SET_RX_CONFIG,45,,,
MSP_LED_COLORS,46,,,
MSP_SET_LED_COLORS,47,,,
MSP_LED_STRIP_CONFIG,48,,,
MSP_SET_LED_STRIP_CONFIG,49,,,
MSP_RSSI_CONFIG,50,,,
MSP_SET_RSSI_CONFIG,51,,,
MSP_ADJUSTMENT_RANGES,52,,,
MSP_SET_ADJUSTMENT_RANGE,53,,,
MSP_CF_SERIAL_CONFIG,54,,,
MSP_SET_CF_SERIAL_CONFIG,55,,,
MSP_VOLTAGE_METER_CONFIG,56,,,
MSP_SET_VOLTAGE_METER_CONFIG,57,,,
MSP_SONAR_ALTITUDE,58,,,//out message get surface altitude [cm]
MSP_PID_CONTROLLER,59,,,
MSP_SET_PID_CONTROLLER,60,,,
MSP_ARMING_CONFIG,61,,,//out message         Returns auto_disarm_delay and disarm_kill_switch parameters
MSP_SET_ARMING_CONFIG,62,,,//in message          Sets auto_disarm_delay and disarm_kill_switch parameters
MSP_RX_MAP,64,,,//out message get channel map (also returns number of channels total)
MSP_SET_RX_MAP,65,,,"//in message set rx map, numchannels to set comes from MSP_RX_MAP"
MSP_BF_CONFIG,66,,,//out message baseflight-specific settings that aren't covered elsewhere
MSP_SET_BF_CONFIG,67,,,//in message baseflight-specific settings save
MSP_REBOOT,68,,,//in message reboot settings
MSP_BF_BUILD_INFO,69,,,//out message build date as well as some space for future expansion
MSP_DATAFLASH_SUMMARY,70,,,//out message - get description of dataflash chip
MSP_DATAFLASH_READ,71,,,//out message - get content of dataflash chip
MSP_DATAFLASH_ERASE,72,,,//in message - erase dataflash chip
MSP_LOOP_TIME,73,,,//out message         Returns FC cycle time i.e looptime parameter
MSP_SET_LOOP_TIME,74,,,//in message          Sets FC cycle time i.e looptime parameter
MSP_FAILSAFE_CONFIG,75,,,//out message         Returns FC Fail-Safe settings
MSP_SET_FAILSAFE_CONFIG,76,,,//in message          Sets FC Fail-Safe settings
MSP_SDCARD_SUMMARY,79,,,//out message         Get the state of the SD card
MSP_BLACKBOX_CONFIG,80,,,//out message         Get blackbox settings
MSP_SET_BLACKBOX_CONFIG,81,,,//in message          Set blackbox settings
MSP_TRANSPONDER_CONFIG,82,,,//out message         Get transponder settings
MSP_SET_TRANSPONDER_CONFIG,83,,,//in message          Set transponder settings
MSP_OSD_CONFIG,84,,,//out message         Get osd settings - betaflight
MSP_SET_OSD_CONFIG,85,,,//in message          Set osd settings - betaflight
MSP_OSD_CHAR_READ,86,,,//out message         Get osd settings - betaflight
MSP_OSD_CHAR_WRITE,87,,,//in message          Set osd settings - betaflight
MSP_VTX_CONFIG,88,,,//out message         Get vtx settings - betaflight
MSP_SET_VTX_CONFIG,89,,,//in message          Set vtx settings - betaflight
MSP_ADVANCED_CONFIG,90,,,
MSP_SET_ADVANCED_CONFIG,91,,,
MSP_FILTER_CONFIG,92,,,
MSP_SET_FILTER_CONFIG,93,,,
MSP_PID_ADVANCED,94,,,
MSP_SET_PID_ADVANCED,95,,,
MSP_SENSOR_CONFIG,96,,,
MSP_SET_SENSOR_CONFIG,97,,,
MSP_SPECIAL_PARAMETERS,98,,,// Temporary betaflight parameters before cleanup and keep CF compatibility
MSP_SET_SPECIAL_PARAMETERS,99,,,// Temporary betaflight parameters before cleanup and keep CF compatibility
MSP_OSD_VIDEO_CONFIG,180,,,
MSP_SET_OSD_VIDEO_CONFIG,181,,,
MSP_DISPLAYPORT,182,,,
MSP_IDENT,100,,,//out message         mixerMode + multiwii version + protocol version + capability variable
MSP_STATUS,101,,,//out message         cycletime & errors_count & sensor present & box activation & current setting number
MSP_RAW_IMU,102,,,//out message         9 DOF
MSP_SERVO,103,,,//out message         servos
MSP_MOTOR,104,,,//out message         motors
MSP_RC,105,,,//out message         rc channels and more
MSP_RAW_GPS,106,,,"//out message         fix, numsat, lat, lon, alt, speed, ground course"
MSP_COMP_GPS,107,,,"//out message         distance home, direction home"
MSP_ATTITUDE,108,,,//out message         2 angles 1 heading
MSP_ALTITUDE,109,,,"//out message         altitude, variometer"
MSP_ANALOG,110,,,"//out message         vbat, powermetersum, rssi if available on RX"
MSP_RC_TUNING,111,,,"//out message         rc rate, rc expo, rollpitch rate, yaw rate, dyn throttle PID"
MSP_PID,112,,,//out message         P I D coeff (9 are used currently)
MSP_ACTIVEBOXES,113,,,"//out message         Active box flags (full width, more than 32 bits)"
MSP_MISC,114,,,//out message         powermeter trig
MSP_MOTOR_PINS,115,,,"//out message         which pins are in use for motors & servos, for GUI"
MSP_BOXNAMES,116,,,//out message         the aux switch names
MSP_PIDNAMES,117,,,//out message         the PID names
MSP_WP,118,,,"//out message         get a WP, WP# is in the payload, returns (WP#, lat, lon, alt, flags) WP#0-home, WP#16-poshold"
MSP_BOXIDS,119,,,//out message         get the permanent IDs associated to BOXes
MSP_SERVO_CONFIGURATIONS,120,,,//out message         All servo configurations.
MSP_NAV_STATUS,121,,,//out message         Returns navigation status
MSP_NAV_CONFIG,122,,,//out message         Returns navigation parameters
MSP_3D,124,,,//out message         Settings needed for reversible ESCs
MSP_RC_DEADBAND,125,,,//out message         deadbands for yaw alt pitch roll
MSP_SENSOR_ALIGNMENT,126,,,"//out message         orientation of acc,gyro,mag"
MSP_LED_STRIP_MODECOLOR,127,,,//out message         Get LED strip mode_color settings
MSP_SET_RAW_RC,200,,,//in message          8 rc chan
MSP_SET_RAW_GPS,201,,,"//in message          fix, numsat, lat, lon, alt, speed"
MSP_SET_PID,202,,,//in message          P I D coeff (9 are used currently)
MSP_SET_BOX,203,,,//in message          BOX setup (number is dependant of your setup)
MSP_SET_RC_TUNING,204,,,"//in message          rc rate, rc expo, rollpitch rate, yaw rate, dyn throttle PID, yaw expo"
MSP_ACC_CALIBRATION,205,,,//in message          no param
MSP_MAG_CALIBRATION,206,,,//in message          no param
MSP_SET_MISC,207,,,//in message          powermeter trig + 8 free for future use
MSP_RESET_CONF,208,,,//in message          no param
MSP_SET_WP,209,,,"//in message          sets a given WP (WP#,lat, lon, alt, flags)"
MSP_SELECT_SETTING,210,,,//in message          Select Setting Number (0-2)
MSP_SET_HEAD,211,,,//in message          define a new heading hold direction
MSP_SET_SERVO_CONFIGURATION,212,,,//in message          Servo settings
MSP_SET_MOTOR,214,,,//in message          PropBalance function
MSP_SET_NAV_CONFIG,215,,,//in message          Sets nav config parameters - write to the eeprom
MSP_SET_3D,217,,,//in message          Settings needed for reversible ESCs
MSP_SET_RC_DEADBAND,218,,,//in message          deadbands for yaw alt pitch roll
MSP_SET_RESET_CURR_PID,219,,,//in message          resetting the current pid profile to defaults
MSP_SET_SENSOR_ALIGNMENT,220,,,"//in message          set the orientation of the acc,gyro,mag"
MSP_SET_LED_STRIP_MODECOLOR,221,,,//in  message         Set LED strip mode_color settings
MSP_EEPROM_WRITE,250,,,//in message          no param
MSP_RESERVE_1,251,,,//reserved for system usage
MSP_RESERVE_2,252,,,//reserved for system usage
MSP_DEBUGMSG,253,,,//out message         debug string buffer
MSP_DEBUG,254,,,"//out message         debug1,debug2,debug3,debug4"
MSP_V2_FRAME,255,,,//MSPv2 payload indicator
MSP_STATUS_EX,150,,,"//out message         cycletime, errors_count, CPU load, sensor present etc"
MSP_SENSOR_STATUS,151,,,//out message         Hardware sensor status
MSP_UID,160,,,//out message         Unique device ID
MSP_GPSSVINFO,164,,,//out message         get Signal Strength (only U-Blox)
MSP_GPSSTATISTICS,166,,,//out message         get GPS debugging data
MSP_ACC_TRIM,240,,,//out message         get acc angle trim values
MSP_SET_ACC_TRIM,239,,,//in message          set acc angle trim values
MSP_SERVO_MIX_RULES,241,,,//out message         Returns servo mixer configuration
MSP_SET_SERVO_MIX_RULE,242,,,//in message          Sets servo mixer configuration
MSP_SET_4WAY_IF,245,,,//in message          Sets 4way interface
MSP_RTC,246,,,"//out message         Gets the RTC clock (returns: secs(i32) millis(u16) - (0,0) if time is not known)"
MSP_SET_RTC,247,,,//in message          Sets the RTC clock (args: secs(i32) millis(u16))
